Compared Sample,704* - S1,704* - S2,704* - S3,AT* - S1,AT* - S2,AT* - S3,GC* - S1,GC* - S2,GC* - S3,400* - S1,400* - S2,400* - S3,1500* - S1,1500* - S2,1500* - S3
704* - S1,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
704* - S2,0.0,0.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
704* - S3,0.0,1.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
AT* - S1,4.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0
AT* - S2,4.0,4.0,4.0,0.0,0.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0
AT* - S3,4.0,4.0,4.0,2.0,2.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0
GC* - S1,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0
GC* - S2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
GC* - S3,4.0,4.0,4.0,4.0,4.0,4.0,1.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0
400* - S1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2.0,4.0,0.0
400* - S2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,1.0,2.0,4.0,0.0
400* - S3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,0.0,1.0,3.0,0.0
1500* - S1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,1.0
1500* - S2,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,3.0,0.0,0.0,3.0
1500* - S3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0
